"","TAG","TIME.TO.DISC.","SITE","TREATMENT","WEEK","HALFHOUR"
"1","0120A3",3015,"EX51A","AM",1,0.5
"2","01512A",2985,"EX51A","AM",1,0.5
"3","0155B9",2925,"EX51A","AM",1,0.5
"4","6CFF62",20295,"EX51A","AM",1,5.5
"5","6D10C6",13935,"EX51A","AM",1,3.5
"6","6D21DB",6675,"EX51A","AM",1,1.5
"7","6D6DE8",17070,"EX51A","AM",1,4.5
"8","6DA49B",8370,"EX51A","AM",1,2
"9","6DBFFF",2850,"EX51A","AM",1,0.5
"10","0018A8",7290,"EX43","AM",1,2
"11","014A6F",9360,"EX43","AM",1,2.5
"12","01D424",8415,"EX43","AM",1,2
"13","6CF728",12405,"EX43","AM",1,3
"14","6D100E",7710,"EX43","AM",1,2
"15","6D191C",7860,"EX43","AM",1,2
"16","6D7313",6900,"EX43","AM",1,1.5
"17","6D7764",9870,"EX43","AM",1,2.5
"18","6D903D",7275,"EX43","AM",1,2
"19","6D991D",17820,"EX43","AM",1,4.5
"20","6D9E67",6780,"EX43","AM",1,1.5
"21","6DAA4D",12105,"EX43","AM",1,3
"22","6DAA9C",13275,"EX43","AM",1,3.5
"23","6DAE3C",13425,"EX43","AM",1,3.5
"24","6DB7CC",18180,"EX43","AM",1,5
"25","6DB91D",7065,"EX43","AM",1,1.5
"26","019451",6915,"O40","AM",1,1.5
"27","022CC6",24045,"O40","AM",1,6.5
"28","6CF845",7530,"O40","AM",1,2
"29","6D054E",9990,"O40","AM",1,2.5
"30","6D0958",13740,"O40","AM",1,3.5
"31","6D0C7D",9135,"O40","AM",1,2.5
"32","6D2515",18390,"O40","AM",1,5
"33","6D2659",15195,"O40","AM",1,4
"34","6D7381",12120,"O40","AM",1,3
"35","6D815D",12390,"O40","AM",1,3
"36","6D93D9",1845,"O40","AM",1,0.5
"37","6D9983",4515,"O40","AM",1,1
"38","6D9C50",12255,"O40","AM",1,3
"39","6D9F78",4920,"O40","AM",1,1
"40","6DA281",27060,"O40","AM",1,7.5
"41","6DA574",12270,"O40","AM",1,3
"42","6DB79A",4725,"O40","AM",1,1
"43","004B73",30570,"CP40","AM",1,8
"44","021055",6060,"CP40","AM",1,1.5
"45","6D7291",25620,"CP40","AM",1,7
"46","6D74B0",15675,"CP40","AM",1,4
"47","6D8F09",7545,"CP40","AM",1,2
"48","6D94B3",6225,"CP40","AM",1,1.5
"49","6DA096",7575,"CP40","AM",1,2
"50","6DB828",7590,"CP40","AM",1,2
"51","6DBB8E",7680,"CP40","AM",1,2
"52","002E6C",9315,"EX64","AM",1,2.5
"53","004CEB",19410,"EX64","AM",1,5
"54","00D4DF",19755,"EX64","AM",1,5
"55","00F64A",15225,"EX64","AM",1,4
"56","014A6F",14775,"EX64","AM",1,4
"57","015C9D",18495,"EX64","AM",1,5
"58","016D1F",20685,"EX64","AM",1,5.5
"59","016EED",21015,"EX64","AM",1,5.5
"60","01B9EA",24270,"EX64","AM",1,6.5
"61","02ACE1",20130,"EX64","AM",1,5.5
"62","03C4B4",20865,"EX64","AM",1,5.5
"63","6CEA20",18510,"EX64","AM",1,5
"64","6CECE5",24435,"EX64","AM",1,6.5
"65","6CED3E",16980,"EX64","AM",1,4.5
"66","6CEE78",16095,"EX64","AM",1,4
"67","6CF066",13260,"EX64","AM",1,3.5
"68","6CF7F1",21225,"EX64","AM",1,5.5
"69","6CFA85",15570,"EX64","AM",1,4
"70","6CFF69",23535,"EX64","AM",1,6.5
"71","6D0562",27405,"EX64","AM",1,7.5
"72","6D0A94",17565,"EX64","AM",1,4.5
"73","6D13E5",20910,"EX64","AM",1,5.5
"74","6D182B",17340,"EX64","AM",1,4.5
"75","6D1A18",19440,"EX64","AM",1,5
"76","6D1D37",24945,"EX64","AM",1,6.5
"77","6D1E71",24675,"EX64","AM",1,6.5
"78","6D20E8",19290,"EX64","AM",1,5
"79","6D21DB",19575,"EX64","AM",1,5
"80","6D6CB4",20745,"EX64","AM",1,5.5
"81","6D6E9B",25590,"EX64","AM",1,7
"82","6D7075",26985,"EX64","AM",1,7
"83","6D7452",15120,"EX64","AM",1,4
"84","6D7542",28305,"EX64","AM",1,7.5
"85","6D7B2A",19170,"EX64","AM",1,5
"86","6D80B4",21030,"EX64","AM",1,5.5
"87","6D8273",20970,"EX64","AM",1,5.5
"88","6D83AF",19860,"EX64","AM",1,5.5
"89","6D8D6D",15000,"EX64","AM",1,4
"90","6D8E03",18555,"EX64","AM",1,5
"91","6D8F9C",16140,"EX64","AM",1,4
"92","6D9586",19755,"EX64","AM",1,5
"93","6D980F",15825,"EX64","AM",1,4
"94","6D9B93",21060,"EX64","AM",1,5.5
"95","6D9D09",19290,"EX64","AM",1,5
"96","6D9D9E",25500,"EX64","AM",1,7
"97","6DA232",16995,"EX64","AM",1,4.5
"98","6DA723",16125,"EX64","AM",1,4
"99","6DAA4D",22815,"EX64","AM",1,6
"100","6DADB5",20160,"EX64","AM",1,5.5
"101","6DB468",19395,"EX64","AM",1,5
"102","6DB7CC",15780,"EX64","AM",1,4
"103","6DB9A7",16725,"EX64","AM",1,4.5
"104","6DBD03",19470,"EX64","AM",1,5
"105","6DBE90",19005,"EX64","AM",1,5
"106","6DBF1D",9105,"EX64","AM",1,2.5
"107","6DC009",4065,"EX64","AM",1,1
"108","6DC1AA",27030,"EX64","AM",1,7.5
"109","6DC3AE",17970,"EX64","AM",1,4.5
"110","6D70BA",11325,"O249","AM",1,3
"111","6D7B92",12360,"O249","AM",1,3
"112","6D9123",11775,"O249","AM",1,3
"113","028CA5",17235,"O13","AM",1,4.5
"114","03AD27",3345,"O13","AM",1,0.5
"115","6D79D8",21615,"O13","AM",1,6
"116","6D9123",3165,"O13","AM",1,0.5
"117","6DACC8",3180,"O13","AM",1,0.5
"118","6DC2FD",19080,"O13","AM",1,5
"119","01B9EA",7875,"EX43","PM",2,2
"120","6D9E67",2625,"EX43","PM",2,0.5
"121","6DB91D",5460,"EX43","PM",2,1.5
"122","001B58",13515,"O40","PM",2,3.5
"123","019451",13605,"O40","PM",2,3.5
"124","6CF845",3975,"O40","PM",2,1
"125","6D0596",4680,"O40","PM",2,1
"126","6D0958",4740,"O40","PM",2,1
"127","6D0C7D",270,"O40","PM",2,0
"128","6D93D9",495,"O40","PM",2,0
"129","6D9983",12015,"O40","PM",2,3
"130","6D9F78",4770,"O40","PM",2,1
"131","6DA281",4695,"O40","PM",2,1
"132","6DA574",11115,"O40","PM",2,3
"133","6DB79A",660,"O40","PM",2,0
"134","004B73",3855,"CP40","PM",2,1
"135","021055",2475,"CP40","PM",2,0.5
"136","6D2576",4830,"CP40","PM",2,1
"137","6D74B0",9345,"CP40","PM",2,2.5
"138","6D8F09",480,"CP40","PM",2,0
"139","6D94B3",675,"CP40","PM",2,0
"140","6DBB8E",2970,"CP40","PM",2,0.5
"141","002E6C",13860,"EX64","PM",2,3.5
"142","00F64A",3480,"EX64","PM",2,0.5
"143","014A6F",5910,"EX64","PM",2,1.5
"144","6CF472",10200,"EX64","PM",2,2.5
"145","6CFA85",9375,"EX64","PM",2,2.5
"146","6D182B",8460,"EX64","PM",2,2
"147","6D1B28",9675,"EX64","PM",2,2.5
"148","6D7452",2835,"EX64","PM",2,0.5
"149","6D7B2A",3060,"EX64","PM",2,0.5
"150","6D8D6D",2985,"EX64","PM",2,0.5
"151","6D8E4F",12630,"EX64","PM",2,3.5
"152","6D9D09",8520,"EX64","PM",2,2
"153","6DA723",9885,"EX64","PM",2,2.5
"154","6DB468",12330,"EX64","PM",2,3
"155","6DB7CC",5895,"EX64","PM",2,1.5
"156","6DB9A7",13770,"EX64","PM",2,3.5
"157","6D7A4D",1230,"O249","PM",2,0
"158","6D7B92",930,"O249","PM",2,0
"159","6CEBB1",9315,"CP38A","AM",2,2.5
"160","6CFF3F",6870,"CP38A","AM",2,1.5
"161","6D2600",4455,"CP38A","AM",2,1
"162","6D7FAB",6090,"CP38A","AM",2,1.5
"163","6D8F09",4140,"CP38A","AM",2,1
"164","6DA096",4800,"CP38A","AM",2,1
"165","6DA85E",15645,"CP38A","AM",2,4
"166","6DACAD",24795,"CP38A","AM",2,6.5
"167","018D14",7860,"EX72A","AM",2,2
"168","03B875",13470,"EX72A","AM",2,3.5
"169","548995",7845,"EX72A","AM",2,2
"170","6CFF69",14010,"EX72A","AM",2,3.5
"171","6D00DF",7830,"EX72A","AM",2,2
"172","6D0456",10845,"EX72A","AM",2,3
"173","6D0E61",9765,"EX72A","AM",2,2.5
"174","6D11D4",13275,"EX72A","AM",2,3.5
"175","6D1447",27825,"EX72A","AM",2,7.5
"176","6D8DD5",9330,"EX72A","AM",2,2.5
"177","6DA723",11010,"EX72A","AM",2,3
"178","6DB468",13665,"EX72A","AM",2,3.5
"179","6DBC41",21765,"EX72A","AM",2,6
"180","6DBE39",15765,"EX72A","AM",2,4
"181","0173C7",2610,"O20","AM",2,0.5
"182","028CA5",3105,"O20","AM",2,0.5
"183","032193",28650,"O20","AM",2,7.5
"184","6CF011",6210,"O20","AM",2,1.5
"185","6CF174",5115,"O20","AM",2,1
"186","6D0562",2550,"O20","AM",2,0.5
"187","6D170E",24645,"O20","AM",2,6.5
"188","6D7679",4200,"O20","AM",2,1
"189","6D79D8",2505,"O20","AM",2,0.5
"190","6D8F9C",2325,"O20","AM",2,0.5
"191","6D9123",25680,"O20","AM",2,7
"192","6D9983",25305,"O20","AM",2,7
"193","6D9D11",9435,"O20","AM",2,2.5
"194","6DAFFE",9375,"O20","AM",2,2.5
"195","6DC2FD",8145,"O20","AM",2,2
"196","0054BE",13275,"O257","AM",2,3.5
"197","018BD0",15945,"O257","AM",2,4
"198","028CA5",22890,"O257","AM",2,6
"199","6CECAC",16050,"O257","AM",2,4
"200","6CF174",5835,"O257","AM",2,1.5
"201","6D1C03",13545,"O257","AM",2,3.5
"202","6D7679",14145,"O257","AM",2,3.5
"203","6D7B92",22755,"O257","AM",2,6
"204","6DA202",13590,"O257","AM",2,3.5
"205","6DC2FD",13215,"O257","AM",2,3.5
"206","00244F",21555,"EX1","AM",2,5.5
"207","00381F",4425,"EX1","AM",2,1
"208","00394E",20970,"EX1","AM",2,5.5
"209","00891A",11355,"EX1","AM",2,3
"210","009B74",30465,"EX1","AM",2,8
"211","00EC95",5865,"EX1","AM",2,1.5
"212","018D14",18030,"EX1","AM",2,5
"213","018D65",11745,"EX1","AM",2,3
"214","545F74",600,"EX1","AM",2,0
"215","548995",13425,"EX1","AM",2,3.5
"216","6CEA20",9075,"EX1","AM",2,2.5
"217","6CEE78",9600,"EX1","AM",2,2.5
"218","6CF414",4185,"EX1","AM",2,1
"219","6CF464",27450,"EX1","AM",2,7.5
"220","6CF8F4",4800,"EX1","AM",2,1
"221","6CFA85",17790,"EX1","AM",2,4.5
"222","6CFB8A",3420,"EX1","AM",2,0.5
"223","6CFE63",4215,"EX1","AM",2,1
"224","6CFF69",3720,"EX1","AM",2,1
"225","6D0021",21345,"EX1","AM",2,5.5
"226","6D00DF",7635,"EX1","AM",2,2
"227","6D0784",6870,"EX1","AM",2,1.5
"228","6D1086",4590,"EX1","AM",2,1
"229","6D17D9",22695,"EX1","AM",2,6
"230","6D1D37",5625,"EX1","AM",2,1.5
"231","6D1E8E",8835,"EX1","AM",2,2
"232","6D24B5",4365,"EX1","AM",2,1
"233","6D27B0",1560,"EX1","AM",2,0
"234","6D72CD",3750,"EX1","AM",2,1
"235","6D7658",13950,"EX1","AM",2,3.5
"236","6D7764",9465,"EX1","AM",2,2.5
"237","6D7A4D",1635,"EX1","AM",2,0
"238","6D7B92",1905,"EX1","AM",2,0.5
"239","6D7E7C",1935,"EX1","AM",2,0.5
"240","6D8152",5460,"EX1","AM",2,1.5
"241","6D82F5",8085,"EX1","AM",2,2
"242","6D8A7D",11925,"EX1","AM",2,3
"243","6D8C34",5985,"EX1","AM",2,1.5
"244","6D8CB7",1860,"EX1","AM",2,0.5
"245","6D8DD5",14295,"EX1","AM",2,3.5
"246","6D9586",17745,"EX1","AM",2,4.5
"247","6D980F",21945,"EX1","AM",2,6
"248","6D98F5",11775,"EX1","AM",2,3
"249","6D991D",15150,"EX1","AM",2,4
"250","6D9E67",2340,"EX1","AM",2,0.5
"251","6DA723",9660,"EX1","AM",2,2.5
"252","6DAA9C",15435,"EX1","AM",2,4
"253","6DB05E",5100,"EX1","AM",2,1
"254","6DB201",6150,"EX1","AM",2,1.5
"255","6DB42F",1830,"EX1","AM",2,0.5
"256","6DB57A",3690,"EX1","AM",2,1
"257","6DB9A7",4545,"EX1","AM",2,1
"258","6DBA00",7890,"EX1","AM",2,2
"259","6DBC41",10635,"EX1","AM",2,2.5
"260","6DBE39",4980,"EX1","AM",2,1
"261","00611D",13530,"O87","AM",2,3.5
"262","6D106D",15150,"O87","AM",2,4
"263","6D13F2",20865,"O87","AM",2,5.5
"264","6D7E62",13635,"O87","AM",2,3.5
"265","6D9BF0",18555,"O87","AM",2,5
"266","6DC413",21420,"O87","AM",2,5.5
"267","6D1C83",4575,"EX88","AM",2,1
"268","6D7D76",25440,"EX88","AM",2,7
"269","6D8A7D",16770,"EX88","AM",2,4.5
"270","0068FA",12705,"CP38A","PM",1,3.5
"271","6CEBB1",2190,"CP38A","PM",1,0.5
"272","6CFF3F",10095,"CP38A","PM",1,2.5
"273","6D2600",3870,"CP38A","PM",1,1
"274","6D7304",9465,"CP38A","PM",1,2.5
"275","6D7FAB",11625,"CP38A","PM",1,3
"276","6D8F09",7455,"CP38A","PM",1,2
"277","6D92F9",17175,"CP38A","PM",1,4.5
"278","6DA096",8280,"CP38A","PM",1,2
"279","6DA85E",6090,"CP38A","PM",1,1.5
"280","6DBB8E",4065,"CP38A","PM",1,1
"281","ECF3A5",15540,"CP38A","PM",1,4
"282","0173C7",10125,"O20","PM",1,2.5
"283","022CC6",4485,"O20","PM",1,1
"284","6CF174",1440,"O20","PM",1,0
"285","6D7679",2475,"O20","PM",1,0.5
"286","6D9D11",7365,"O20","PM",1,2
"287","018BD0",5460,"O257","PM",1,1.5
"288","6CECAC",7080,"O257","PM",1,1.5
"289","6CF174",4740,"O257","PM",1,1
"290","6D815D",8865,"O257","PM",1,2
"291","6D93D9",9015,"O257","PM",1,2.5
"292","6D9C50",8880,"O257","PM",1,2
"293","6DC2FD",4125,"O257","PM",1,1
